LOT,LOW,HIGH,DESCRIPT,TYPESET,FOOTNOTE,CROSSHEAD,REFNO
188,2000,3000,ROBERT RAUSCHENBERG Test Stone 2.,"ROBERT RAUSCHENBERG
Test Stone 2.

Lithograph on Rives BFK, 1967. 825x635 mm; 32½x25 inches, full margins. Signed, dated and numbered 7/76 in pencil, lower margin. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamps lower right.  A very good impression of this early lithograph. Foster 41.",,,773631
189,1500,2500,ROBERT RAUSCHENBERG Earth Tie.,"ROBERT RAUSCHENBERG
Earth Tie.

Lithograph on Arches Cover paper, 1969. 1015x680mm; 40x26 inches, full margins. Signed, dated and numbered 10/48 in pencil, lower right. Published by Gemini G.E.L., Los Angeles, with the blind stamps, lower right and the ink stamp, verso. A very good impression of this large, early lithograph. Foster 75.",,,773630
190,1500,2500,ROBERT RAUSCHENBERG Marsh.,"ROBERT RAUSCHENBERG
Marsh.

Color lithograph on Arches Cover paper, 1969. 787x591 mm; 31x23¼ inches, full margins. Signed, dated and numbered 16/60 in pencil, lower left. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamps lower left. From the Stoned Moon series. A very good impression.According to Foster, ""The stone was cracked in the upper section during proofing of the print, and the edition was printed in this condition. The fissure was such that during printing the paper was embossed."" Foster 76.",,,773634
191,1500,2500,ROBERT RAUSCHENBERG Moon Rose.,"ROBERT RAUSCHENBERG
Moon Rose.

Lithograph printed in brown ink on Arches Cover paper, 1969. 1230x865 mm; 48x34 inches, full margins. Signed, dated and numbered 40/47 in pencil, lower center. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamps lower center. A very good impression. Foster 80.",,,773633
192,1500,2500,ROBERT RAUSCHENBERG Tilt.,"ROBERT RAUSCHENBERG
Tilt.

Color lithograph on Rives BFK, 1969. 698x565 mm; 27½x22¼ inches, full margins. Signed, dated and numbered 1/60 in pencil, upper margin. Printed and published by Gemini G.E.L., Los Angeles. A very good impression. Foster 88.",,,773632
193,2000,3000,ROBERT RAUSCHENBERG Link.,"ROBERT RAUSCHENBERG
Link.

Color pressed paper pulp multiple with screenprint, 1974. 600x500 mml; 23x19 inches, full margins. Signed, dated and numbered 8/29 in pencil, lower margin. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamp. From Pages and Fuses. A very good impression.",,,775812
194,2000,3000,ROBERT RAUSCHENBERG Broken Harp / Untitled (Harp).,"ROBERT RAUSCHENBERG
Broken Harp / Untitled (Harp).

Color screenprint on cream wove paper, 1989. 910x815 mm; 36x32 inches, full margins. Signed, dated, and numbered 29/500 in pencil, lower left. Published by Dallas Cares/The American Foundation for AIDS Research. A very good impression.",,,773657
195,1500,2500,ROBERT RAUSCHENBERG Saint John the Divine (Cathedral Print).,"ROBERT RAUSCHENBERG
Saint John the Divine (Cathedral Print).

Color lithograph on wove paper, 1993. 908x645 mm; 35¾x25 inches (sheet), full margins. Signed, dated and numbered 10/175 in pencil, lower left. Published by ULAE, West Islip. A very good impression of this large lithograph.",,,776742
196,1200,1800,ROBERT RAUSCHENBERG Tribute 21 (Cinema).,"ROBERT RAUSCHENBERG
Tribute 21 (Cinema).

Color lithograph on Arches, 1994. 1037x681 mm; 40x 26 inches (sheet), full margin. One of 20 numbered artist's proofs, aside from the edition of 50. Signed, dated, inscribed ""AP"" and numbered 9/20 in pencil, lower margin. Published by Felissimo, New York, with the blind stamp, lower left. From the same-titled portfolio. A very good impression.",,,775273
197,50000,80000,PETER SAUL Untitled.,"PETER SAUL
Untitled.

Color oil stick and gouache on two joined sheets of heavy cream wove paper, 1960. 370x690 mm; 14x27¼ inches. Signed and dated in ball-point pen and ink, lower right recto, and counter signed and dated with a smaller signature in ball-point pen and ink, lower left recto.Acquired directly from the artist by the current owner, private collection, New York.Saul’s (b. 1934) iconoclastic paintings draw references from American culture and cartoons, pre-dating the Pop Art works of Andy Warhol (1928-1987, see lot 210, lots 229-244) and Roy Lichtenstein (1923-1997, see lots 211-219, 245-248, 250 and 251). In his earlier paintings, Saul was influenced by prominent mid-century abstract artists before he began incorporating comic book and cartoon characters around 1960. Juxtaposing widely-recognizable characters and mundane products along with symbols of war and jagged, almost violently-drawn color fields, Saul explored the darkest themes in American culture at the time, including government corruption, civil rights and the Vietnam War.Saul brought uncomfortable, current themes such as violence, racism, greed, corruption, history and criminality to the forefront, made lighter for the viewer to process through his biting sense of humor and bright color palette, which became trademarks of Pop Art. Through his celebrated artistic commentary on contemporary issues, Saul drew stylistic influences from Surrealism and an array of old master artists, notably Francisco José de Goya (1746-1828) and William Hogarth (1697-1764).",,,775605
198,3000,5000,ELAINE DE KOONING Portrait of Steven Poleskie.,"ELAINE DE KOONING
Portrait of Steven Poleskie.

Pencil on cream wove paper mounted on cardstock, circa 1965. 161x92 mm; 6½x3¾ inches. Signed in pencil, lower right recto.De Kooning (1918-1989) worked on a screenprint with Poleskie at Chiron Press, New York, during 1964-65. Poleskie later recalled, ""At that time we were close friends and she (de Kooning) was one of the first to work with me in my print shop. I recently found some photographs of her in my studio, Chiron Press.  [The photographer] Eddie (Johnson) was also a sculptor and a film maker. We collaborated on a movie called The Bird Film, which was widely shown back then at places like The Bridge Cinema in NYC and the Yale Film Festival . . . Elaine de Kooning was an associate producer, and many of the movie’s scenes were shot on her farm at Livingston Manor in upstate New York. Eddie also took the photographs that appeared in Life magazine when Elaine painted her famous, or infamous, portrait of President John F. Kennedy. Elaine's screenprint, was done from her ""bulls"" series. It was printed in six colors, and Elaine made all the stencils herself, with my help and supervision, using the tusche and glue technique. This process is quite time consuming, and few of the artists I worked with back then were willing to put in the effort required to make a print this way. Elaine and I made a lot of test prints and pulled proofs in many different color combinations. Elaine was a true painter at heart.""Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774645
199,4000,6000,HELEN FRANKENTHALER Untitled.,"HELEN FRANKENTHALER
Untitled.

Color screenprint on White Arches double-weight watercolor paper, 1967.  654x454 mm; 22x17 inches, full margins. Artist's proof, aside from the edition of 100. Signed, dated, inscribed ""Artist's proof"" and dedicated ""for Steve"" in pencil, lower right. Printed by Maurel Studios, New York. Published by the artist and Chiron Press, New York, with the blind stamp, lower left. Harrison 11.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774668
200,4000,6000,HELEN FRANKENTHALER Paris Review Poster.,"HELEN FRANKENTHALER
Paris Review Poster.

Color screenprint on white Arches silkscreen paper, 1966. 705x505 mm; 27¾x19 inches, full margins. Signed and numbered 28/150 in pencil, lower margin. Printed by Stephen Poleskie, Chiron Press, New York. Published by the Paris Review, New York. A very good impression. Harrison App. 3.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774634
201,1500,2500,ROBERT MOTHERWELL Paris Review.,"ROBERT MOTHERWELL
Paris Review.

Color screenprint on Beckett Cartridge paper, 1965. 765x560 mm; 30x22 inches, full margins. Signed and numbered 28/150 in pencil, lower right. Printed by Stephen Poleskie, Chiron Press, New York. Published by the Paris Review, New York. A very good impression. Belknap App. 9.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774640
202,15000,20000,LOUISE NEVELSON Facade.,"LOUISE NEVELSON
Facade.

Group of 6 photographic collages on cardstock, one photographic and screenprint collage on yellow wove paper and one screenprint collage on cream wove paper, 1966. The six collages on cardstock: 760x510 mm; 30x20¼ inches; the collage on yellow wove paper: 585x445 mm23x17½ inches; the collage on cream wove paper: 587x480 mm; 23¼x19 inches. The collage on cream wove paper with geometric studies in pencil, verso.The original collage maquettes for 7 (of 12) screenprints for the Facade Portfolio, 1966 (see Baro 73, 74, 76, 78--2 collages, 80, 81 and 82).According to Baro, ""The portfolio of twelve prints entitled Facade were done in homage to Edith Sitwell. The title of each print is the title of one of the poems of the Sitwell suite of the same name . . . Each print is a photographic collage silkscreened on paper, color paper and acetate, with additional collage elements. The portfolio was executed in an edition of 125 signed and numbered copies; four of the prints on colored paper with collage elements were done in an edition of 150; the were 7 complete sets of artist's proofs. The portfolio was printed by Chiron Press, New York, and published by Harry N. Abrams, New York, in collaboration with Pace Editions, Inc., [New York].""Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774653
203,4000,6000,LOUISE NEVELSON Untitled.,"LOUISE NEVELSON
Untitled.

Screenprint on Plexiglas box, 1964. 100x75x50 mm; 4x3x2 inches. Artist's proof, there was no published edition. Printed by Stephen Poleskie, Chiron Press, New York.Likely a prototype maquette for an unrealized multiple project Nevelson (1899-1988) planned with Poleskie at Chiron Press, during which time they collaborated on the artist's Paris Review Poster, screenprint, 1965, and Facade Portfolio, set of 12 screenprints and collage, 1966 (see lot 202).Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774652
204,4000,6000,NICHOLAS KRUSHENICK Untitled.,"NICHOLAS KRUSHENICK
Untitled.

Acrylic on Masonite, 1964. 305x250 mm; 12x10 inches. Signed and dated in acrylic, verso.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774646
205,7000,10000,RICHARD ANUSZKIEWICZ Christmas Star for the Museum of Modern Art.,"RICHARD ANUSZKIEWICZ
Christmas Star for the Museum of Modern Art.

Oil and oil on paper collage on Masonite, 1965. 177x177 mm; 7x7 inches. Signed and dated in oil, verso.This is the original oil and collage study for Anuszkiewicz's (1930-2020) Annual Edition holiday card for The Museum of Modern Art, New York (the cards were printed as color screenprints by Stephen Poleskie, Chiron Press, New York).Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774650
206,1000,1500,RICHARD ANUSZKIEWICZ Diamond Chroma.,"RICHARD ANUSZKIEWICZ
Diamond Chroma.

Color screenprint on white wove paper, 1965. 513x383 mm; 20¼x15¼ inches, full margins. Artist's proof, aside from the edition of 200. Signed in pencil, lower right. Printed by Steven Poleskie, Chiron Press, New York. Published by Tanglewood Press, Inc., New York. From New York Ten. A very good impression with vibrant colors.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,776231
207,3000,5000,ELLSWORTH KELLY The Paris Review.,"ELLSWORTH KELLY
The Paris Review.

Color screenprint on white wove paper, 1968. 1016x660 mm; 40x26 inches (sheet), full margins. Initialed and numbered 28/150 in pencil, lower margin. Printed by Stephen Poleskie, Chiron Press, New York. Published by the Paris Review, New York. A very good impression with vibrant colors. Axsom IIf.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774637
208,3000,5000,ROBERT RAUSCHENBERG Paris Review Poster.,"ROBERT RAUSCHENBERG
Paris Review Poster.

Color offset lithograph on wove paper, 1965. 510x408 mm; 20x16 inches, full margins. Signed, dated and numbered 28/150 in felt-tip pen and black ink, lower right. Published by the Paris Review, New York. A very good impression of this early print. Foster 33.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774636
209,1500,2500,ROBERT RAUSCHENBERG Untitled.,"ROBERT RAUSCHENBERG
Untitled.

Color offset lithograph on wove paper, 1968. 837x637 mm; 33x24 inches, full margins. Artist's proof, aside from the edition of 300. Signed and dated in felt-tip pen and red ink, lower right. Printed and published by Quarry, Local One/Amalgamated Lithographers of America and Color Lithographers Service, Inc., New York, with the blind stamps, lower right. Foster 63.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774649
210,7000,10000,ANDY WARHOL Paris Review.,"ANDY WARHOL
Paris Review.

Color screenprint with die-cut holes on heavy cream wove paper, 1967.  940x689 mm; 37x27 inches, full margins. Numbered 28/150 in pencil and with the artist's ink stamp, lower right. Printed by Stephen Poleskie, Chiron Press, New York. Published by the Paris Review, New York. A very good impression. Feldman 18.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774639
211,20000,30000,ROY LICHTENSTEIN Brushstroke.,"ROY LICHTENSTEIN
Brushstroke.

Color screenprint on heavy, white wove paper, 1965. 564x723 mm; 22¼x28½ inches, full margins. Artist's proof, aside from the edition of 280. Signed and inscribed ""artist's proof"" in pencil, lower margin. Printed by Stephen Poleskie, Chiron Press, New York. Published by Leo Castelli Gallery, New York. A very good impression of this important, early Pop Art print, with strong colors. Corlett II.5.Ex-collection Stephen Poleskie, Chiron Press, New York.The deluxe, before letters, edition of an image also used as a poster and a mailer, both reproduced as color offset lithographs from this color screenprint, for Lichtenstein's (1923-1997) November 20-December 16, 1965, exhibition at Leo Castelli Gallery, New York. This was the first exhibition of Lichtenstein's group of 15 iconic Brushstroke paintings. The current screenprint, Lichtenstein's first of many prints on the Brushstroke theme, is based on White Brushstroke I, oil on canvas, 1965 (sold Sotheby's, New York, June 29, 2020, lot 107). According to Waldman, “Lichtenstein focused on brushwork as the signature of a style and used it . . . to address the issue of what characterizes style in art. Is it defined by an artist’s brushstroke? Is it the result of the transmutation of one form into another? Or could it even be determined by an artist’s signature on a common object? Or does it embrace all of these? In White Brushstroke I and other paintings of the period, Lichtenstein implies that painting can be reduced to a sign and that brushstrokes can be the means by which we recognize, not only a style--but content,” (Waldman, Roy Lichtenstein, New York, Solomon R. Guggenheim Museum, 1993, pages 156-57.Lichtenstein discussed the brushstroke form as follows: ""The very nature of a brushstroke is anathema to outlining and filling in as used in cartoons. So I developed a form for it which is what I am trying to do in the explosions, airplanes, and people--that is, to get a standardized thing--a stamp or image. The brushstroke was particularly difficult. I got the idea very early because of the Mondrian and Picasso paintings which inevitably led to the idea of a de Kooning,"" (Corlett, The Prints of Roy Lichtenstein, A Catalogue Raisonné 1948-1993, Washington, D.C., 1993, pages 24-25).This is the first screenprint on which Lichtenstein collaborated with Stephen Poleskie at Chiron Press, New York, and several additional printed projects with Poleskie followed in quick succession during the mid-to-late 1960s (see lots 212-219).",,,774651
212,20000,30000,ROY LICHTENSTEIN Lincoln Center Poster.,"ROY LICHTENSTEIN
Lincoln Center Poster.

Felt-tip pen and black ink and pencil on cream wove paper, 1966. 1225x872 mm; 48¼x34½ inches. Annotated with color and printing notes in pencil. With the Chiron Press ink stamp, lower right recto.Ex-collection Stephen Poleskie, Chiron Press, New York.Lincoln Center Poster is a five color screenprint on silver foil paper designed by Lichtenstein and printed by Poleskie at Chiron Press, New York (see lot 215). This is the drawing for the white opaque screen as indicated in pencil on the sheet.",,,774660
213,30000,50000,ROY LICHTENSTEIN Lincoln Center Poster.,"ROY LICHTENSTEIN
Lincoln Center Poster.

Felt-tip pen and black ink and pencil on cream wove paper, 1966. 1225x870 mm; 48¼x34¼ inches. Annotated with color and printing notes in pencil. With the Chiron Press ink stamp, lower right recto.Ex-collection Stephen Poleskie, Chiron Press, New York.Lincoln Center Poster is a five color screenprint on silver foil paper designed by Lichtenstein and printed by Poleskie at Chiron Press, New York (see lot 215). This is the drawing for the black screen as indicated in pencil on the sheet.",,,774659
214,20000,30000,ROY LICHTENSTEIN Three preparatory works for Lincoln Center Poster.,"ROY LICHTENSTEIN
Three preparatory works for Lincoln Center Poster.

Each felt-tip pen and black ink, pencil and paper collage on cream wove paper, 1966. Each 1220x870 mm; 48x34½ inches. Each annotated in pen and ink and pencil. Each with the Chiron Press ink stamp, lower right recto.Ex-collection Stephen Poleskie, Chiron Press, New York.Lincoln Center Poster is a five color screenprint on silver foil paper designed by Lichtenstein and printed by Poleskie at Chiron Press, New York (see lot 215). These are the designs for the yellow, red and blue screens as indicated in ink and pencil and the color swatches on the sheets.",,,774662
215,5000,8000,ROY LICHTENSTEIN Lincoln Center Poster.,"ROY LICHTENSTEIN
Lincoln Center Poster.

Color screenprint on silver foil paper, 1966. 1163x762 mm; 45¾x30 inches (sheet), full margins. Printer's proof, aside from the edition of 100. Signed, dated and inscribed ""P/P 1"" in ballpoint pen and ink, lower right. Printed by Stephen Poleskie, Chiron Press, New York. Published by Lincoln Center/List Art Poster and Print Program, New York. A very good impression with strong colors. Corlett 41.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774666
216,20000,30000,ROY LICHTENSTEIN Paris Review Poster.,"ROY LICHTENSTEIN
Paris Review Poster.

Felt-tip pen and black ink, black wash, pencil and collage on cream wove paper, 1966. 1223x775 mm; 48¼x30½ inches. Annotated with color and printing notes in pencil and ink, upper center recto. Inscribed ""Chiron Press"" in ink, lower right recto.Ex-collection Stephen Poleskie, Chiron Press, New York.Paris Review Poster is a four color screenprint on paper designed by Lichtenstein and printed by Poleskie at Chiron Press, New York (see lot 219). This is the drawing for the white opaque screen as indicated in ink on the sheet.",,,774664
217,30000,50000,ROY LICHTENSTEIN Paris Review Poster.,"ROY LICHTENSTEIN
Paris Review Poster.

Felt-tip pen and black ink, pencil and collage on cream wove paper, 1966. 1223x775 mm; 48¼x30½ inches. Annotated with color notes, upper recto, and inscribed ""Chiron Press"" in ink, lower right recto.Ex-collection Stephen Poleskie, Chiron Press, New York.Paris Review Poster is a four color screenprint on paper designed by Lichtenstein and printed by Poleskie at Chiron Press, New York (see lot 219). This is the drawing for the blue screen as indicated in ink and the color swatch on the sheet.",,,774663
218,20000,30000,ROY LICHTENSTEIN Two preparatory works for Paris Review Poster.,"ROY LICHTENSTEIN
Two preparatory works for Paris Review Poster.

Both felt-tip pen and black ink and pencil on cream wove paper, 1966. Both 1223x775 mm; 48¼x30½ inches, irregular edges.Ex-collection Stephen Poleskie, Chiron Press, New York.Paris Review Poster is a four color screenprint on paper designed by Lichtenstein and printed by Poleskie at Chiron Press, New York (see lot 219). These are the designs for the red and yellow screens.",,,774665
219,6000,9000,ROY LICHTENSTEIN Paris Review Poster.,"ROY LICHTENSTEIN
Paris Review Poster.

Color screenprint on heavy, glossy white paper, 1966. 1016x654 mm; 40x25 inches (sheet), full margins. Artist's proof, aside from the edition of 150. Signed and inscribed ""A/P"" in ball-point pen and ink, lower right. Printed by Stephen Poleskie, Chiron Press, New York. Published by the Paris Review, New York. A superb impression with vibrant colors. Corlett 43.With--A reduced scale mylar screen of the Paris Review Poster, 1966, 305x190 mm; 12x7½ inches.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774641
220,1000,1500,ROBERT INDIANA Paris Review.,"ROBERT INDIANA
Paris Review.

Color screenprint on off-white heavy wove paper, 1965. 610x606 mm; 24x23 inches, full margins. Signed, dated and numbered 28/150 in pencil, lower margin. Printed by Stephen Poleskie, Chiron Press, New York. Published by the Paris Review, New York. A superb impression with vibrant colors. Sheehan 34.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774635
221,12000,18000,"ROBERT INDIANA LOVE, Indiana Stable May 66.","ROBERT INDIANA
LOVE, Indiana Stable May 66.

Pencil on translucent wove paper, 1966. 1015x780 mm; 40x31 inches. Signed in pencil, lower right recto.Ex-collection Stephen Poleskie, Chiron Press, New York.Indiana's (1928-2018) drawing for the color screenprint poster produced to announce his 1966 solo exhibition (which the artist referred to as his ""LOVE show"") at Stable Gallery, New York. Indiana developed the first incarnation of LOVE in 1964 as a design for a personal holiday greeting that he sent to his friends, and then refined as a printed Christmas card for The Museum of Modern Art, New York, the following year. In 1966, the artist debuted major paintings of the motif at Stable Gallery, New York, for which he made this drawing as a maquette for the gallery poster.According to Indiana, ""The word LOVE got to be the way it is because I have a kind of a passion about symmetry and the dividing of things into equal parts. The word LOVE is that way because those four letters best fit a square if the square is squared by that particular arrangement. And it was really that sort of a necessity for a very compact form that I came upon that arrangement . . . With the red, blue and green paintings the interaction in the eye is of such a nature that with the slightest change of light the fields automatically interchange, the positive becomes negative and vice versa, with almost a violent effect in the eye.""",,,774632
222,5000,8000,ROBERT INDIANA Numbers,"ROBERT INDIANA
Numbers

Set of 4 color screenprints on wood panels in wood box with screenprint cover, 1966. Each panel: 227x227x20 mm; 9x9x1 inches; box: 275x275x90 mm; 11x11x3½ inches (overall). Signed, dated and inscribed ""Artist's Proof #2"" in felt-tip pen and black ink, underside of box cover. Printed by Stephen Poleskie, Chiron Press, New York.With--A group of black wove paper stencils of numbers for the project, some marked with pencil.The scale and color combinations of the numbers in this box set correspond to those in Indiana's (1928-2018) iconic Exploding Numbers, set of 4 oils on canvas, 1964-66, now in a private collection. This box was likely based on these panels and was created during the time Indiana was working with Poleskie at Chiron Press, New York, on the Paris Review Poster, color screenprint, 1965, and Purim: The Four Facets of Esther I and II, color screenprints, 1967 (see lot 223 and lot 224), as one of only several artist's proofs for an unrealized edition.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774654
223,15000,20000,ROBERT INDIANA Purim: The Four Facets of Esther.,"ROBERT INDIANA
Purim: The Four Facets of Esther.

Pencil and pen and ink on Bainbridge Bristol Studio illustration board, 1967. 765x562 mm; 30¼x22¼ inches. Inscribed ""Steve: Note Color of Stars & Backgrounds are Reversed"" in orange pencil, lower margin recto, dated ""Mar. 11, 1967"" with a rubber ink stamp, lower left recto, and annotated throughout with color and size notes in pencil and color pencil.Ex-collection Stephen Poleskie, Chiron Press, New York.Indiana's (1928-2018) study for the same-titled color screenprint, issued in two color versions, in 1967. According to Sheehan, ""These prints were commissioned by The Jewish Museum, New York, for its annual fundraising celebration in conjunction with the Jewish holiday of Purim. The subject for this print was taken from the Book of Esther."" Both color versions of the screenprint were printed at the Chiron Press, one in an edition of 90 and the other in an edition of 60 (see Sheehan 35 and 36).",,,774633
224,2500,3500,ROBERT INDIANA Purim: The Four Facets of Esther (I).,"ROBERT INDIANA
Purim: The Four Facets of Esther (I).

Color screenprint on white wove paper, 1967. 683x555 mm; 26x21 inches, full margins. Printer's proof, aside from the edition of 90. Signed, titled, dated and inscribed ""(Printer's Proof)"" in pencil, lower margin. Printed by Stephen Poleskie, Chiron Press, New York. Published by The Jewish Museum, New York. A very good impression with vibrant colors. Sheehan 36.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774667
225,1500,2500,ALEX KATZ Paris Review Poster.,"ALEX KATZ
Paris Review Poster.

Color screenprint on Beckett Cartridge paper, 1965-66. 903x611 mm; 35½x24 inches (sheet), full margins. Signed and numbered 28/150 in pencil, lower left. Printed by Stephen Poleskie, Chiron Press, New York. Published by the Paris Review, New York. A very good impression with strong colors. Maravell 11.Ex-collection Stephen Poleskie, Chiron Press, New York.According to the artist in an interview with the catalogue raisonné author Nicholas P. Maravell, ""The Paris Review commissioned a lot of artists to do posters for them. Actually, they're a terrific bunch of images. All of them were done at Steve Poleskie's. Andy Warhol had been working with photoscreens, and I wanted to fool around with it. So I made a photoscreen from a painting I had, and I just played around with the colors. I used a photographic process--to dots--on only one part of it, actually, and made the rest of the print flat. The arty lettering is in a flat color, I was very pleased with the result. It was an experiment. I had decided early on that I wanted to do something a little different--technically--in every print just to extend the range,"" (Alex Katz, The Complete Prints, New York, 1983, page 11).",,,774638
226,30000,50000,ALEX KATZ Maine Landscape.,"ALEX KATZ
Maine Landscape.

Oil on wood panel, circa 1965. 250x303 mm; 10x12 inches. Signed upper right recto.Ex-collection Fischbach Gallery, New York, with the ink stamp and label, verso; and Stephen Poleskie, Chiron Press, New York.",,,774642
227,50000,80000,ALEX KATZ Rowboat.,"ALEX KATZ
Rowboat.

Oil, color pencil and pencil on paper, 1966. 227x287 mm; 9x11¼ inches. Signed in pencil, lower left recto.Katz's (b. 1927) study for the same-titled color screenprint and color screenprint poster (see below). According to the artist, ""The Rowboat image comes out of a collage. Next I did a painting of it and then by doing a print, this image was almost back into a collage,"" (Maravell, Alex Katz, The Complete Prints, New York, 1983, catalogue number 14).With--Rowboat, color screenprint on rose-toned wove paper, 1966. 265x331 mm; 10½x13 inches, full margins. Edition of approximately 500. Signed and dedicated ""For Steve--Alex"" in pencil, lower left * Rowboat Poster, color screenprint on rose-toned wove paper, 1966. 545x343 mm; 21½x13½ inches (sheet), full margins. Edition of approximately 500. Both printed by Stephen Poleskie, Chiron Press, New York. Both published by Fischbach Gallery, New. Very good impressions. Maravell 14 and 15Each ex-collection Stephen Poleskie, Chiron Press, New York.",,,774643
228,1500,2500,ALEX KATZ Beach House.,"ALEX KATZ
Beach House.

Color screenprint on white wove paper, 1966. 139x184 mm; 5½x7¼ inches, full margins. Artist's proof, aside from the edition of 50. Signed and dedicated ""For Steve"" in pencil, lower left. Printed by Stephen Poleskie, Chiron Press, New York. Published by Fischbach Gallery, New York. A superb impression with fresh colors. Maravell 12.Ex-collection Stephen Poleskie, Chiron Press, New York.",,,774644
229,4000,6000,ANDY WARHOL Shoe.,"ANDY WARHOL
Shoe.

Pen and black ink and wash with white gouache additions on cream wove paper, 1954. 270x260 mm; 10¾x10¼ inches. An advertising design for Harper's Bazar, with the ink stamp and Warhol's name and date in pencil, lower right recto.Ex-collection private collection, New York.",,,776718
230,4000,6000,ANDY WARHOL Shoe.,"ANDY WARHOL
Shoe.

Brush and black ink and wash with additions in white gouache on cream wove Strathmore paper, circa 1955. 288x390 mm; 11¼x15½ inches. Annotated in pencil, recto, and inscribed ""Warhol"" in pencil, verso. An advertising design for Harper's Bazar, New York.Ex-collection private collection, New York.",,,776719
231,5000,8000,ANDY WARHOL Beauty by Appointment.,"ANDY WARHOL
Beauty by Appointment.

Pen and black ink on cream wove paper, 1955. 360x282 mm; 14¼x11¼ inches. An advertising design for Harper's Bazar, with the ink stamp and Warhol's name, title and date in pencil, verso.Ex-collection private collection, New York.",,,776717
232,2000,3000,ANDY WARHOL Happy Butterfly Day.,"ANDY WARHOL
Happy Butterfly Day.

Offset lithograph with hand coloring in watercolor on cream wove paper, circa 1956. 285x215 mm; 11¼x8½ inches, full margins. Signed and titled in ink, lower right and upper left recto. A design for Vanity Fair, New York. Brown 39.",,,774681
233,1500,2500,ANDY WARHOL S & H Green Stamps.,"ANDY WARHOL
S & H Green Stamps.

Offset color lithograph, 1965. 570x560 mm; 22¼x22 inches (sheet), full margins. Edition of 6000. Printed by Eugene Feldman, Philadelphia. Published by the Institute of Contemporary Art, Philadelphia, with the printed text verso. A very good impression.The mailing announcement for a Warhol exhibition at the Institute of Contemporary Art, Philadelphia, October 8-November 21, 1965. Feldman 9.",,,776524
234,15000,20000,ANDY WARHOL Liz.,"ANDY WARHOL
Liz.

Color offset lithograph on paper, 1964. 558x555 mm; 21x21 inches, full margins. Edition of approximately 300. Signed in ball-point pen and black ink, lower right. Printed by Total Color, New York. Published by Leo Castelli Gallery, New York.The actress Elizabeth Taylor, then at the height of her career, was one of Warhol's (1928-1987, see lot 210, lots 229-244) most cherished icons and subjects, and he created over a dozen paintings of her. This particular image was sourced from a publicity photograph from 1960 that he reproduced in a number of works. Elizabeth Taylor fascinated and consumed Warhol, as she epitomized his obsession with female celebrity. Feldman 7.",,,774682
235,2000,3000,ANDY WARHOL Marilyn (Announcement).,"ANDY WARHOL
Marilyn (Announcement).

Color screenprint, 1981. 305x305 mm; 12x12 inches, full margins. The announcement for ""Andy Warhol, A Print Retrospective, 1963-1981,"" at Castelli Graphics, New York, 1981.Based on the artist's same-titled suite of screenprints from 1967. A very good impression with vibrant colors. See Feldman 22-31.",,,776644
236,3000,5000,ANDY WARHOL (after) Marilyn Portfolio,"ANDY WARHOL (after)Marilyn Portfolio.Complete set of 10 color screenprints on Museum Board. Each 914x914 mm; 36x36 inches (sheets), full margins. Each stamped ""Fill in your own signature"" and ""Published by Sunday B. Morning"" in ink, verso. Each with vibrant colors.",,,776896
237,30000,50000,ANDY WARHOL Consommé (Beef).,"ANDY WARHOL
Consommé (Beef).

Color screenprint on heavy white wove paper, 1968. 889x584 mm; 35x23 inches (sheet), full margins. Signed in ball-point pen and ink and numbered 45/250 with the rubber ink stamp, verso. Printed by Salvatore Silkscreen Co., Inc., New York. Published by Factory Additions, New York. From Campbells Soup I. A brilliant, richly-inked impression with vibrant colors. Feldman 52.",,,776438
238,10000,15000,ANDY WARHOL Electric Chair.,"ANDY WARHOL
Electric Chair.

Color screenprint, 1971. 902x1219 mm; 35½x48 inches, full margins. Signed and dated in ball-point pen and ink and numbered 56/250 with the ink stamp, verso. Printed by Silkprint Kettner, Zurich. Published by Bruno Bischofberger, Zurich. From the same-titled series. A very good impression with strong colors. Feldman 78.",,,776465
